[2026-05-25 16:40:50] Git: 
[2026-05-25 16:40:50] Git: [main a0786de] auto: update tunnel URL to https://operational-motorola-metallica-noble.trycloudflare
[2026-05-25 16:40:52] Git: 
[2026-05-25 16:40:52] ✅ Updated site to tunnel: https://operational-motorola-metallica-noble.trycloudflare.com
[2026-05-25 17:00:24] Tunnel https://operational-motorola-metallica-noble.trycloudflare.com not responding, skipping update
[2026-05-27 06:15:34] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Max retries exceeded with url: /health (Caused by ConnectTimeoutError(<HTTPSConnection(host='lrp-voice.loca.lt', port=443) at 0x77efe05a9e90>, 'Connection to lrp-voice.loca.lt timed out. (connect timeout=10)'))), skipping update
[2026-05-27 06:20:47] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 06:25:53] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 06:31:32] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 06:36:57] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 06:41:05] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 06:45:15] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 06:50:26] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 06:55:32] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:02:44] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:06:22] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:10:34] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:15:41] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:20:48] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:26:04] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:30:31] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 07:35:51] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 07:41:07] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 07:45:14] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 07:50:19] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 07:55:41] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 08:01:48] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:05:59] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:10:11] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:15:27] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:20:48] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 08:25:55] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:31:10] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 08:35:16] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:40:29] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:45:46] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 08:51:18] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 08:55:36] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 09:01:22] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 09:05:37] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 09:10:52] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Max retries exceeded with url: /health (Caused by ConnectTimeoutError(<HTTPSConnection(host='lrp-voice.loca.lt', port=443) at 0x70019d321d10>, 'Connection to lrp-voice.loca.lt timed out. (connect timeout=10)'))), skipping update
[2026-05-27 09:16:08] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 09:20:25] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 09:25:46] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 09:30:55] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 09:36:01] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 09:40:12] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 09:45:23] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 09:50:33] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 09:55:43] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:01:40] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:05:49] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:11:02] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:15:34] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:20:44] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:25:51] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:31:02] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:35:14] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:40:20] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:45:36] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:50:52] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 10:56:07] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:00:17] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:05:25] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:05:33] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:10:40] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:15:59] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:20:03] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:25:16] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:30:24] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:35:31] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:40:39] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:45:49] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:51:00] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 11:55:32] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:00:40] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:05:14] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:10:21] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:15:30] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:20:36] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:25:45] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:31:04] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:35:09] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:40:17] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:45:27] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:50:33] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 12:55:40] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:01:43] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:05:49] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:10:58] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:15:06] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:20:13] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:25:27] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:31:09] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:35:15] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:40:25] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:45:31] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:50:37] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 13:55:43] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:02:01] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:05:15] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:10:21] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:15:28] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:20:34] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:34:48] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:35:54] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:41:01] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:45:07] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:50:56] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 14:55:09] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:11:31] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:15:36] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:20:46] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:25:53] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:31:03] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:35:10] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:40:16] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:45:27] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:50:33] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 15:55:39] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 16:00:46] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 16:05:53] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 16:11:01] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 16:11:57] Tunnel https://lrp-voice.loca.lt not responding (HTTPSConnectionPool(host='lrp-voice.loca.lt', port=443): Read timed out. (read timeout=10)), skipping update
[2026-05-27 16:13:19] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:15:40] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 16:20:53] Tunnel https://lrp-voice.loca.lt not responding (status=503), skipping update
[2026-05-27 16:21:50] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:26:10] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:30:17] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:35:39] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:40:46] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:45:58] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:50:04] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 16:55:11] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:01:35] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:05:40] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:10:46] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:15:52] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:20:57] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:26:03] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:30:09] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:35:14] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:40:20] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:45:27] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:50:36] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 17:55:46] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:00:52] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:05:59] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:10:04] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:15:11] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:20:17] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:25:25] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:30:33] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:35:39] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:40:45] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 18:45:52] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:00:35] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:05:42] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:10:50] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:16:02] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:20:07] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:25:13] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:30:19] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:35:27] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:40:33] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:51:42] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 19:55:53] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 20:03:07] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 20:05:17] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 20:10:26] URL unchanged (https://lrp-voice.loca.lt), no update needed
[2026-05-27 20:15:34] URL unchanged (https://lrp-voice.loca.lt), no update needed
